Resultats des agents :
Money :
Cycle, Farmer, Miner, Refiner, WoodCutter, Blacksmith
1,0,0,0,0,0
2,150,400,500,300,250
3,517,492,490,445,495
4,519,474,477,511,475
5,519,470,469,522,465
6,516,458,464,529,455
7,526,457,457,524,453
8,524,455,451,524,444
9,533,454,441,520,438
10,533,452,437,519,428
11,535,451,434,514,423
12,541,448,427,514,418
13,548,444,425,509,417
14,549,442,423,509,411
15,560,440,417,506,400
16,558,438,416,506,400
17,567,436,413,502,396
18,568,432,410,503,389
19,575,429,407,500,392
20,576,426,406,497,396
21,585,425,401,495,390
22,585,422,401,495,383
23,590,419,400,495,383
24,592,418,396,493,391
25,593,416,398,496,387
26,590,413,397,499,394
27,595,413,390,502,393
28,589,411,393,506,394
29,601,407,388,504,400
30,596,409,386,505,407
31,595,402,387,510,408
32,606,404,384,508,401
33,605,398,383,512,401
34,604,396,385,517,401
35,611,396,382,519,403
36,608,395,380,524,397
37,615,391,379,528,390
38,621,394,376,528,389
39,618,393,375,529,385
40,628,388,373,534,375
41,633,386,373,535,380
42,630,385,369,540,382
43,641,381,367,541,378
44,646,383,366,542,380
45,642,382,363,546,379
46,657,378,361,543,379
47,659,376,362,548,384
48,655,376,361,554,374
49,672,372,358,545,376
50,670,371,361,551,384
