Resultats des agents :
ItemProd :
Cycle, Farmer, Miner, Refiner, WoodCutter, Blacksmith
1,0,0,0,0,0
2,1,14,9,5,1
3,14,22,11,4,4
4,14,27,13,2,4
5,17,28,15,0,5
6,16,33,17,0,4
7,16,32,19,0,4
8,15,33,21,0,4
9,16,32,24,0,5
10,13,33,26,0,5
11,13,32,28,0,5
12,11,33,30,0,4
13,11,33,33,0,5
14,9,33,35,0,6
15,9,33,37,0,6
16,6,33,39,0,7
17,6,33,41,0,8
18,5,33,43,0,7
19,5,33,46,0,7
20,3,33,48,0,8
21,2,33,50,0,9
22,1,33,52,0,9
23,1,33,55,0,8
24,1,33,57,0,9
25,2,33,59,0,9
26,1,33,61,0,9
27,2,33,64,0,10
28,1,33,66,0,9
29,2,33,68,0,9
30,2,33,70,0,9
31,1,34,72,0,11
32,1,33,75,0,11
33,2,34,77,0,12
34,1,34,79,0,12
35,2,33,81,0,13
36,1,34,83,0,15
37,1,34,85,0,15
38,3,33,88,0,16
39,1,34,90,0,18
40,1,34,92,0,17
41,3,34,94,0,17
42,1,34,96,0,18
43,1,34,98,0,18
44,3,34,100,0,19
45,1,34,103,0,19
46,1,34,105,0,19
47,3,34,107,0,21
48,1,34,109,0,21
49,1,34,112,0,20
50,3,34,114,0,18
