Resultats des agents :
Profit :
Cycle, Farmer, Miner, Refiner, WoodCutter, Blacksmith
1,0,0,0,0,0
2,17,-8,-10,-6,-5
3,1,-17,-12,17,-19
4,0,-16,-7,12,-9
5,-7,0,-5,6,-10
6,9,-3,-7,-4,-2
7,0,0,-5,0,-8
8,8,-4,-9,-3,-5
9,0,1,-4,0,-9
10,7,-4,-2,-4,-4
11,2,1,-6,0,-4
12,6,-6,-2,-4,0
13,1,0,-2,0,-5
14,10,-5,-5,-2,-10
15,0,0,0,0,0
16,9,-4,-3,-2,-3
17,1,0,-3,0,-6
18,7,-6,-2,-2,3
19,0,0,-1,-1,4
20,9,-4,-5,-2,-5
21,0,1,0,0,-6
22,5,-4,0,0,0
23,1,-1,-4,0,8
24,0,-3,2,2,-3
25,-2,0,-1,3,6
26,5,-3,-6,2,0
27,-5,2,2,4,0
28,12,-8,-4,0,6
29,-4,2,-1,0,7
30,0,-2,0,4,1
31,11,-2,-2,0,-6
32,-1,-1,-1,3,0
33,0,-2,2,5,0
34,6,-3,-3,3,2
35,-2,3,-1,3,-6
36,7,-4,-1,4,-6
37,6,0,-2,1,-1
38,-2,4,-1,0,-3
39,10,-4,-2,5,-10
40,5,-4,0,2,5
41,-2,2,-3,3,2
42,10,-4,-2,1,-4
43,4,0,-1,0,2
44,-2,3,-2,3,0
45,14,-5,-2,-1,0
46,2,-3,1,3,5
47,-3,4,-1,5,-10
48,17,-4,-2,-7,2
49,-1,-1,3,5,8
50,0,0,-2,-2,13
